date,close
1/21/2022,99.12
1/22/2022,99.33
1/23/2022,99.78
1/24/2022,100.09
1/25/2022,99.86
1/26/2022,100.36
1/27/2022,98.73
1/28/2022,98.36
1/29/2022,97.49
1/30/2022,98.35
1/31/2022,99.24
2/1/2022,98.88
2/2/2022,98.21
2/3/2022,97.96
2/4/2022,98.59
2/5/2022,99.23
2/6/2022,100.09
2/7/2022,99.98
2/8/2022,100.04
2/9/2022,100.14
2/10/2022,101.15
2/11/2022,101.13
2/12/2022,100.82
2/13/2022,101.35
2/14/2022,102.42
2/15/2022,103.6
2/16/2022,103.96
2/17/2022,103.42
2/18/2022,102.3
2/19/2022,101.83
2/20/2022,100.55
2/21/2022,100.47
2/22/2022,101.03
2/23/2022,101.47
2/24/2022,99.66
2/25/2022,99.17
2/26/2022,99.5
2/27/2022,100.35
2/28/2022,100.13
3/1/2022,99.2
3/2/2022,100.39
3/3/2022,100.74
3/4/2022,100.58
3/5/2022,101.08
3/6/2022,100.46
3/7/2022,100.43
3/8/2022,100.3
3/9/2022,100.21
3/10/2022,99.58
3/11/2022,99.79
3/12/2022,100.6
3/13/2022,100.52
3/14/2022,100.55
3/15/2022,102.06
3/16/2022,101.33
3/17/2022,100.16
3/18/2022,100.1
3/19/2022,99.16
3/20/2022,99.64
3/21/2022,99.15
3/22/2022,100.6
3/23/2022,101.55
3/24/2022,100.34
3/25/2022,100.14
3/26/2022,100.34
3/27/2022,101.96
3/28/2022,102.98
3/29/2022,102.4
3/30/2022,101.69
3/31/2022,101.46
4/1/2022,99.89
4/2/2022,101.06
4/3/2022,99.21
4/4/2022,99.83
4/5/2022,98.32
4/6/2022,99.53
4/7/2022,100.66
4/8/2022,100.11
4/9/2022,102.52
4/10/2022,101.65
4/11/2022,102.34
4/12/2022,103.22
4/13/2022,102.51
4/14/2022,102.8
4/15/2022,101.21
4/16/2022,100.7
4/17/2022,100.18
4/18/2022,100.26
4/19/2022,100.7
4/20/2022,99.96
4/21/2022,100.44
4/22/2022,99.62
4/23/2022,98.44
4/24/2022,100.38
4/25/2022,100.35
4/26/2022,99.78
4/27/2022,101.1
4/28/2022,102.46
4/29/2022,101.36
4/30/2022,102.46
5/1/2022,100.83
5/2/2022,100.14
5/3/2022,102.38
5/4/2022,101.48
5/5/2022,102.09
5/6/2022,102.26
5/7/2022,102.2
5/8/2022,103.76
5/9/2022,101.9
5/10/2022,101.29
5/11/2022,104.04
5/12/2022,102.49
5/13/2022,104
5/14/2022,104.76
5/15/2022,104.58
5/16/2022,104.94
5/17/2022,106.39
5/18/2022,105.56
5/19/2022,103.28
5/20/2022,103.79
5/21/2022,104.52
5/22/2022,104.57
5/23/2022,105.36
5/24/2022,105.33
5/25/2022,105.06
5/26/2022,104.59
5/27/2022,104.28
5/28/2022,106.74
5/29/2022,105.55
5/30/2022,106.81
5/31/2022,104.07
6/1/2022,102.76
6/2/2022,103.96
6/3/2022,104.43
6/4/2022,106.72
6/5/2022,106.24
6/6/2022,108.05
6/7/2022,108.52
6/8/2022,108.51
6/9/2022,107.56
6/10/2022,107.72
6/11/2022,108.51
6/12/2022,108.03
6/13/2022,108.25
6/14/2022,107.21
6/15/2022,106.7
6/16/2022,106.88
6/17/2022,107.86
6/18/2022,108.18
6/19/2022,108.76
6/20/2022,108.83
6/21/2022,108.3
6/22/2022,108.16
6/23/2022,109.07
6/24/2022,108.75
6/25/2022,108.91
6/26/2022,108.82
6/27/2022,108.2
6/28/2022,109.01
6/29/2022,108.82
6/30/2022,108.62
7/1/2022,107.46
7/2/2022,107.78
7/3/2022,107.04
7/4/2022,105.56
7/5/2022,104.79
7/6/2022,104.07
7/7/2022,103.13
7/8/2022,102.63
7/9/2022,101.22
7/10/2022,100.36
7/11/2022,99.2
7/12/2022,98.7
7/13/2022,96.78
7/14/2022,98.21
7/15/2022,97.01
7/16/2022,99.12
7/17/2022,101.23
7/18/2022,102.08
7/19/2022,104.91
7/20/2022,102.39
7/21/2022,104.86
7/22/2022,105.13
7/23/2022,103.85
7/24/2022,104.3
7/25/2022,106.59
7/26/2022,106.54
7/27/2022,107.1
7/28/2022,107.1
7/29/2022,108.64
7/30/2022,107.46
7/31/2022,107.88
8/1/2022,107.99
8/2/2022,107.35
8/3/2022,106.19
8/4/2022,105.88
8/5/2022,104.72
8/6/2022,104.58
8/7/2022,104.55
8/8/2022,104.99
8/9/2022,103.8
8/10/2022,104.05
8/11/2022,104.42
8/12/2022,103.84
8/13/2022,103.76
8/14/2022,103.36
8/15/2022,103.73
8/16/2022,102.95
8/17/2022,103.22
8/18/2022,103.44
8/19/2022,103.23
8/20/2022,103.1
8/21/2022,104.19
8/22/2022,103.21
8/23/2022,102.96
8/24/2022,102.7
8/25/2022,101.17
8/26/2022,102.02
8/27/2022,101.74
8/28/2022,100.63
8/29/2022,101.16
8/30/2022,101.08
8/31/2022,99.93
9/1/2022,100.71
9/2/2022,99.82
9/3/2022,100.16
9/4/2022,99.9
9/5/2022,100.09
9/6/2022,102.3
9/7/2022,101.96
9/8/2022,102.11
9/9/2022,102.11
9/10/2022,102.2
9/11/2022,102.19
9/12/2022,102.47
9/13/2022,101.27
9/14/2022,101.8
9/15/2022,100.37
9/16/2022,102.22
9/17/2022,103.28
9/18/2022,105.38
9/19/2022,105.1
9/20/2022,105.8
9/21/2022,106.04
9/22/2022,105.72
9/23/2022,106.47
9/24/2022,105.42
9/25/2022,105.86
9/26/2022,105.87
9/27/2022,104.62
9/28/2022,104.99
9/29/2022,105.65
9/30/2022,105.76
10/1/2022,104.59
10/2/2022,104.75
10/3/2022,105.27
10/4/2022,103.81
10/5/2022,102.81
10/6/2022,101.93
10/7/2022,102.45
10/8/2022,102.53
10/9/2022,102.53
10/10/2022,103.32
10/11/2022,104.1
10/12/2022,103.22
10/13/2022,103.18
10/14/2022,103.22
10/15/2022,102.68
10/16/2022,102.46
10/17/2022,102.17
10/18/2022,101.46
10/19/2022,100.76
10/20/2022,100.3
10/21/2022,100.81
10/22/2022,100.98
10/23/2022,100.96
10/24/2022,101.14
10/25/2022,100.25
10/26/2022,100.64
10/27/2022,100.58
10/28/2022,100.69
10/29/2022,100.87
10/30/2022,101.02
10/31/2022,100.52
11/1/2022,100.91
11/2/2022,100.5
11/3/2022,100.91
11/4/2022,99.51
11/5/2022,100
11/6/2022,99.31
11/7/2022,100.53
11/8/2022,101.29
11/9/2022,101.03
11/10/2022,101.34
11/11/2022,99.79
11/12/2022,99.96
11/13/2022,100.22
11/14/2022,100.18
11/15/2022,100
11/16/2022,98.96
11/17/2022,98.75
11/18/2022,99.2
11/19/2022,97.14
11/20/2022,96.87
11/21/2022,96.54
11/22/2022,98.95
11/23/2022,98.06
11/24/2022,97.89
11/25/2022,98.42
11/26/2022,98.26
11/27/2022,98.23
11/28/2022,97.94
11/29/2022,98.23
11/30/2022,97.44
12/1/2022,97.28
12/2/2022,97.05
12/3/2022,97.38
12/4/2022,95.2
12/5/2022,95.93
12/6/2022,94.12
12/7/2022,93.59
12/8/2022,93.94
12/9/2022,93.93
12/10/2022,92.81
12/11/2022,93
12/12/2022,93.6
12/13/2022,93.49
12/14/2022,93.45
12/15/2022,93.32
12/16/2022,92.89
12/17/2022,92.59
12/18/2022,93.34
12/19/2022,91.56
12/20/2022,92.12
12/21/2022,91.36
12/22/2022,91.11
12/23/2022,91.11
12/24/2022,91.11
12/25/2022,91.52
12/26/2022,92.38
12/27/2022,91.64
12/28/2022,92.17
12/29/2022,92.76
12/30/2022,92.56
12/31/2022,92.42
1/1/2023,92.97
1/2/2023,91.07
1/3/2023,90.04
1/4/2023,88.75
1/5/2023,87.28
1/6/2023,86.62
1/7/2023,86.78
1/8/2023,88.47
1/9/2023,89.5
1/10/2023,88.9
1/11/2023,90.1
1/12/2023,89.94
1/13/2023,90.61
1/14/2023,92.74
1/15/2023,94.32
1/16/2023,94.03
1/17/2023,95.06
1/18/2023,94.64
1/19/2023,94.8
1/20/2023,94.72
1/21/2023,94.5
1/22/2023,94.74
1/23/2023,94.73
1/24/2023,94.16
1/25/2023,94.29
1/26/2023,92.33
1/27/2023,91.85
1/28/2023,91.03
1/29/2023,91.59
1/30/2023,92.3
1/31/2023,92.35
2/1/2023,92.54
2/2/2023,92.06
2/3/2023,92.03
2/4/2023,92.09
2/5/2023,91.98
2/6/2023,92.64
2/7/2023,90.66
2/8/2023,91.37
2/9/2023,91.35
2/10/2023,91.16
2/11/2023,93.11
2/12/2023,94.14
2/13/2023,94.44
2/14/2023,94.44
2/15/2023,92.97
2/16/2023,93.63
2/17/2023,93.97
2/18/2023,94.28
2/19/2023,94.66
2/20/2023,94.98
2/21/2023,95.06
2/22/2023,95.63
2/23/2023,95.25
2/24/2023,95.2
2/25/2023,95.15
2/26/2023,94.86
2/27/2023,94.3
2/28/2023,94.39
3/1/2023,93.92
3/2/2023,93.34
3/3/2023,93.56
3/4/2023,94.29
3/5/2023,94.05
3/6/2023,92.69
3/7/2023,93.04
3/8/2023,92.81
3/9/2023,93.03
3/10/2023,93.37
3/11/2023,92.61
3/12/2023,92.79
3/13/2023,93.14
3/14/2023,92.39
3/15/2023,92.09
3/16/2023,92.35
3/17/2023,92.1
3/18/2023,92.36
3/19/2023,91.2
3/20/2023,91.63
3/21/2023,91.97
3/22/2023,91.11
3/23/2023,89.93
3/24/2023,89.8
3/25/2023,89.45
3/26/2023,87.78
3/27/2023,85.96
3/28/2023,85.61
3/29/2023,86.59
3/30/2023,87.31
3/31/2023,86.58
4/1/2023,87.29
4/2/2023,87.47
4/3/2023,86.69
4/4/2023,86.73
4/5/2023,87.07
4/6/2023,87.08
4/7/2023,88.22
4/8/2023,89.09
4/9/2023,89.68
4/10/2023,90.07
4/11/2023,89.91
4/12/2023,89.06
4/13/2023,89.03
4/14/2023,88.57
4/15/2023,89.01
4/16/2023,89.23
4/17/2023,88.53
4/18/2023,87.56
4/19/2023,87.16
4/20/2023,87.04
4/21/2023,86.9
